2026-04-07 00:57:29 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 00:58:20 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 00:58:58 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 00:59:03 | INFO | apt_detection | Socket client connected.
2026-04-07 00:59:03 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 00:59:03 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 00:59:03 | INFO | apt_detection.runtime | Capture thread started.
2026-04-07 00:59:14 | INFO | apt_detection | Socket client connected.
2026-04-07 01:00:03 | INFO | apt_detection | Socket client disconnected.
2026-04-07 01:02:09 | INFO | apt_detection | Socket client connected.
2026-04-07 01:02:29 | INFO | apt_detection | Socket client disconnected.
2026-04-07 05:31:32 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 05:32:34 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 05:32:43 | INFO | apt_detection | Socket client connected.
2026-04-07 05:32:43 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 05:32:43 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 05:32:43 | INFO | apt_detection.runtime | Capture thread started.
2026-04-07 05:34:05 | INFO | apt_detection | Socket client connected.
2026-04-07 05:34:19 | INFO | apt_detection | Socket client disconnected.
2026-04-07 05:54:00 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 05:54:00 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 05:54:00 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 05:54:00 | INFO | apt_detection.runtime | Capture session 1 started.
2026-04-07 05:54:01 | INFO | apt_detection.runtime.capture | Capture loop stopping, flushing active flows.
2026-04-07 05:54:01 | INFO | apt_detection.runtime | Capture session 1 stopped.
2026-04-07 05:54:35 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 05:55:06 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 05:55:06 | INFO | apt_detection | Socket client connected.
2026-04-07 05:55:06 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 05:55:11 | INFO | apt_detection | Socket client connected.
2026-04-07 05:56:06 | INFO | apt_detection | Socket client disconnected.
